"material","sample_ID","watershed","species","year","C_mg_g"
"wood","C1","EB","RS",2001,476.85
"wood","C2","EB","RS",2001,474.83
"wood","C5","EB","RS",2001,476.08
"wood","C7","EB","RM",2001,475.57
"wood","C8","EB","RM",2001,493.88
"wood","C9","EB","RM",2001,468.96
"wood","C11","EB","YB",2001,469.34
"wood","C12","EB","YB",2001,457.82
"wood","C13","EB","YB",2001,473.17
"wood","C14","EB","YB",2001,475.33
"wood","C15","EB","YB",2001,465.88
"wood","C16","EB","AB",2001,523.98
"wood","C17","EB","AB",2001,492.09
"wood","C18","EB","AB",2001,476.64
"wood","C19","EB","SM",2001,498.11
"wood","C20","EB","SM",2001,552.23
"wood","C21","EB","SM",2001,484.75
"wood","C22","EB","SM",2001,467.01
"wood","C23","EB","SM",2001,485.89
"wood","C24","WB","RS",2001,470.8
"wood","C25","WB","RS",2001,478.7
"wood","C26","WB","RS",2001,501.08
"wood","C27","WB","RS",2001,481.1
"wood","C30","WB","RM",2001,474.47
"wood","C31","WB","RM",2001,482.1
"wood","C32","WB","RM",2001,475.91
"wood","C33","WB","RM",2001,505.4
"wood","C34","WB","YB",2001,472.47
"wood","C35","WB","YB",2001,482.81
"wood","C36","WB","YB",2001,482.3
"wood","C37","WB","YB",2001,471.34
"wood","C38","WB","YB",2001,588.38
"wood","C39","WB","AB",2001,498.88
"wood","C40","WB","AB",2001,473.23
"wood","C41","WB","AB",2001,483.53
"wood","C42","WB","SM",2001,492.74
"wood","C43","WB","SM",2001,488.95
"wood","C45","WB","SM",2001,484.76
"wood","C47","EB","RS",2004,501.21
"wood","C48","EB","RS",2004,501.19
"wood","C49","EB","RS",2004,501.53
"wood","C50","EB","RS",2004,497.94
"wood","C51","EB","RS",2004,485.93
"wood","C52","EB","RM",2004,489.92
"wood","C53","EB","RM",2004,484.45
"wood","C54","EB","RM",2004,504.54
"wood","C55","EB","RM",2004,528.32
"wood","C56","EB","RM",2004,485.35
"wood","C57","EB","YB",2004,493.57
"wood","C58","EB","YB",2004,582.08
"wood","C59","EB","YB",2004,480.66
"wood","C60","EB","YB",2004,480.3
"wood","C61","EB","YB",2004,496.7
"wood","C62","EB","AB",2004,506.7
"wood","C63","EB","AB",2004,583.12
"wood","C64","EB","AB",2004,514.29
"wood","C65","EB","SM",2004,772.35
"wood","C66","EB","SM",2004,892.21
"wood","C67","EB","SM",2004,500.63
"wood","C68","EB","SM",2004,515.43
"wood","C69","EB","SM",2004,499.13
"wood","C70","WB","RS",2004,488.22
"wood","C71","WB","RS",2004,496.46
"wood","C72","WB","RS",2004,515.11
"wood","C73","WB","RS",2004,560.94
"wood","C74","WB","RS",2004,476.42
"wood","C75","WB","RM",2004,487.96
"wood","C76","WB","RM",2004,475.03
"wood","C77","WB","RM",2004,480.81
"wood","C78","WB","RM",2004,502.03
"wood","C79","WB","RM",2004,456.41
"wood","C80","WB","YB",2004,487.17
"wood","C81","WB","YB",2004,564.24
"wood","C82","WB","YB",2004,503.72
"wood","C83","WB","YB",2004,505.93
"wood","C85","WB","AB",2004,402.23
"wood","C86","WB","AB",2004,440.22
"wood","C87","WB","AB",2004,641.29
"wood","C88","WB","AB",2004,547.37
"wood","C89","WB","SM",2004,485.99
"wood","C90","WB","SM",2004,462.1
"wood","C91","WB","SM",2004,495.59
"wood","C92","WB","SM",2004,473.71
"wood","C93","WB","SM",2004,538.92
"wood","C94","EB","RS",2006,495.51
"wood","C95","EB","RS",2006,516.49
"wood","C96","EB","RS",2006,486.15
"wood","C97","EB","RS",2006,488.01
"wood","C99","EB","RM",2006,493.29
"wood","C100","EB","RM",2006,479.78
"wood","C102","EB","RM",2006,582.68
"wood","C103","EB","RM",2006,493.15
"wood","C104","EB","YB",2006,486.64
"wood","C105","EB","YB",2006,470.21
"wood","C106","EB","YB",2006,546.61
"wood","C107","EB","YB",2006,480.92
"wood","C108","EB","YB",2006,783.17
"wood","C109","EB","AB",2006,472.72
"wood","C110","EB","AB",2006,536.49
"wood","C111","EB","AB",2006,531.14
"wood","C112","EB","SM",2006,529.56
"wood","C113","EB","SM",2006,510.78
"wood","C114","EB","SM",2006,636.98
"wood","C115","EB","SM",2006,532.86
"wood","C116","EB","SM",2006,515.85
"wood","C118","WB","RS",2006,515.51
"wood","C119","WB","RS",2006,502.91
"wood","C120","WB","RS",2006,489.43
"wood","C121","WB","RS",2006,495.77
"wood","C122","WB","RM",2006,482.84
"wood","C123","WB","RM",2006,486.3
"wood","C124","WB","RM",2006,464.84
"wood","C125","WB","RM",2006,510.65
"wood","C126","WB","RM",2006,46.5
"wood","C127","WB","YB",2006,478.23
"wood","C128","WB","YB",2006,498.76
"wood","C129","WB","YB",2006,475.63
"wood","C131","WB","YB",2006,579.87
"wood","C132","WB","AB",2006,724.48
"wood","C133","WB","AB",2006,475.47
"wood","C134","WB","AB",2006,491.36
"wood","C135","WB","AB",2006,567.46
"wood","C136","WB","SM",2006,491.36
"wood","C137","WB","SM",2006,492.53
"wood","C138","WB","SM",2006,494.65
"wood","C139","WB","SM",2006,821.64
"wood","C140","WB","SM",2006,467
"wood","C141","EB","RS",,490.74
"wood","C142","EB","RS",,510.78
"wood","C146","EB","RM",,490.37
"wood","C150","EB","RM",,503.4
"wood","C152","EB","YB",,493.59
"wood","C155","EB","YB",,481.42
"wood","C157","EB","AB",,535.08
"wood","C161","EB","SM",,489.88
"wood","C162","EB","SM",,512.06
"wood","C163","EB","SM",,483.09
"wood","C168","WB","RS",,564.8
"wood","C171","WB","RM",,499.17
"wood","C172","WB","RM",,501.6
"wood","C173","WB","RM",,489.03
"wood","C175","WB","RM",,477.9
"wood","C176","WB","YB",,1663
"wood","C179","WB","YB",,509.27
"wood","C181","WB","AB",,474.87
"wood","C184","WB","AB",,482.04
"wood","C190","WB","SM",,490.59
